id,level_id,question,code_snippet,options,language,tags
1d5d6ea5-a48a-448e-8aa1-e57fda40dd3c,c1ddc588-ffe6-4c50-aebb-a59bd8ef8d7d,Which statement about `Object.create(proto)` is correct?,,"[{""text"":""It creates a new object with `proto` as its prototype"",""is_correct"":true},{""text"":""It copies all properties from `proto`"",""is_correct"":false},{""text"":""It freezes the prototype"",""is_correct"":false},{""text"":""It returns an array of keys"",""is_correct"":false}]",javascript,"[""PROTOTYPE"",""OBJECT_CREATE""]"
1ecddf16-2ac6-45a6-8ea1-861e730d2dc7,0497829e-f4d0-4074-9af4-7ef069f3240f,Which syntax correctly declares an interface?,,"[{""text"":""interface User { id: number; name: string; }"",""is_correct"":true},{""text"":""type interface User = { id: number }"",""is_correct"":false},{""text"":""User interface { id: number }"",""is_correct"":false},{""text"":""interface: User { id: number }"",""is_correct"":false}]",typescript,"[""INTERFACES""]"
1fa273d2-32e4-432c-83ee-8b1083dc0329,f0b352af-6dd7-48bc-92ce-89969cf1cbe5,Which variables end up in the Temporal Dead Zone?,,"[{""text"":""Variables declared with `let` and `const`"",""is_correct"":true},{""text"":""Variables declared with `var`"",""is_correct"":false},{""text"":""Function declarations"",""is_correct"":false},{""text"":""Only arrow functions"",""is_correct"":false}]",javascript,"[""TDZ"",""LET"",""CONST""]"
1fb3c2d0-c2c0-4dda-a113-a27b66e0921a,f0b352af-6dd7-48bc-92ce-89969cf1cbe5,What will this code log?,"console.log(typeof z);
var z = 42;","[{""text"":""`undefined`"",""is_correct"":false},{""text"":""`number`"",""is_correct"":false},{""text"":""`object`"",""is_correct"":false},{""text"":""`undefined` then assigns `42` later due to hoisting"",""is_correct"":true}]",javascript,"[""TYPEOF"",""HOISTING""]"
21603e01-9da2-4fde-bcb6-1e95d9604c54,7d1541a7-7471-4a49-bb01-512395d5b836,What is a scope chain?,,"[{""text"":""A chain of lexical environments used to resolve identifiers"",""is_correct"":true},{""text"":""A list of all global variables"",""is_correct"":false},{""text"":""A call stack of functions"",""is_correct"":false},{""text"":""A list of imported modules"",""is_correct"":false}]",javascript,"[""SCOPE_CHAIN""]"
258c09d4-be27-4f5c-9f10-1a273e8da4bb,9ca2f9a2-4802-4d54-b7c1-dd1a10dda632,Which statement about `arguments` vs rest parameters is correct?,,"[{""text"":""`arguments` is array-like, rest parameters are real arrays"",""is_correct"":true},{""text"":""Both are real arrays"",""is_correct"":false},{""text"":""Rest parameters only work in arrow functions"",""is_correct"":false},{""text"":""`arguments` works in arrow functions"",""is_correct"":false}]",javascript,"[""ARGUMENTS"",""REST_PARAMETERS""]"
26868692-b984-4a49-9034-8a176bc2be81,9759a2f9-6ab9-4cc8-8324-b646dd95c461,What is the type of `id` here?,const id = 5 as const;,"[{""text"":""`5` (literal type)"",""is_correct"":true},{""text"":""`number`"",""is_correct"":false},{""text"":""`any`"",""is_correct"":false},{""text"":""`unknown`"",""is_correct"":false}]",typescript,"[""LITERAL_TYPES""]"
2692e377-3c4f-481d-a28a-32fdb5e41f64,310f983b-d4b8-402d-9b7a-4c6126d07f03,What will this code log?,"bar();
var bar = function () {
  console.log(`called`);
};","[{""text"":""`TypeError` at `bar()`"",""is_correct"":true},{""text"":""`called`"",""is_correct"":false},{""text"":""`ReferenceError`"",""is_correct"":false},{""text"":""Nothing"",""is_correct"":false}]",javascript,"[""FUNCTION_EXPRESSION"",""HOISTING""]"
2816ed2b-5292-49d8-ab4a-89bfc886910c,f0b352af-6dd7-48bc-92ce-89969cf1cbe5,Which declaration is function‑scoped?,,"[{""text"":""`var`"",""is_correct"":true},{""text"":""`let`"",""is_correct"":false},{""text"":""`const`"",""is_correct"":false},{""text"":""All three"",""is_correct"":false}]",javascript,"[""SCOPE"",""VARIABLES""]"
2865dcee-a16d-4e5b-b865-a1096f1e76c5,d9d362e9-010f-4505-8d05-fdf2a6abf337,Which syntax correctly defines rest parameters?,,"[{""text"":""function foo(...args) {}"",""is_correct"":true},{""text"":""function foo(args...) {}"",""is_correct"":false},{""text"":""function foo(..args) {}"",""is_correct"":false},{""text"":""function foo(args, ...) {}"",""is_correct"":false}]",javascript,"[""REST_PARAMETERS""]"
2979f356-2c42-4301-a743-f802c5a8d3d9,7d1541a7-7471-4a49-bb01-512395d5b836,What will this code log?,"let y = 1;
function test() {
  y = 2;
  console.log(y);
}
test();
console.log(y);","[{""text"":""`2` then `2`"",""is_correct"":true},{""text"":""`1` then `2`"",""is_correct"":false},{""text"":""`2` then `1`"",""is_correct"":false},{""text"":""`1` then `1`"",""is_correct"":false}]",javascript,"[""MUTATION"",""SCOPE""]"
2b462b79-3144-4af8-b9a0-795a92cfec0b,7d1541a7-7471-4a49-bb01-512395d5b836,Where is a variable declared with `var` inside a function accessible?,,"[{""text"":""Everywhere inside that function"",""is_correct"":true},{""text"":""Only inside the block where it is defined"",""is_correct"":false},{""text"":""Only before its declaration"",""is_correct"":false},{""text"":""Only inside nested functions"",""is_correct"":false}]",javascript,"[""FUNCTION_SCOPE"",""VAR""]"
2c3a8c55-5091-4373-ae80-0704235f2e7a,7d1541a7-7471-4a49-bb01-512395d5b836,What will this code log?,"function foo() {
  console.log(x);
  var x = 5;
}
foo();","[{""text"":""`undefined`"",""is_correct"":true},{""text"":""`5`"",""is_correct"":false},{""text"":""`ReferenceError`"",""is_correct"":false},{""text"":""`TypeError`"",""is_correct"":false}]",javascript,"[""HOISTING"",""VAR""]"
2e212895-5d13-445f-a0bc-145d1122326e,d9537b41-8ea2-4900-96b7-3584192a082d,Which method stores a value in `localStorage`?,,"[{""text"":""`localStorage.setItem(`key`, `value`)`"",""is_correct"":true},{""text"":""`localStorage.store(`key`, `value`)`"",""is_correct"":false},{""text"":""`localStorage.save(`key`, `value`)`"",""is_correct"":false},{""text"":""`localStorage.push(`key`, `value`)`"",""is_correct"":false}]",javascript,"[""LOCALSTORAGE"",""API""]"
2e6e4ae1-b5c4-4607-9f36-64b6de8b8dd3,c1ddc588-ffe6-4c50-aebb-a59bd8ef8d7d,What will this code log?,"const obj = {};
Object.defineProperty(obj, `a`, {
  value: 1,
  enumerable: false
});
console.log(Object.keys(obj));","[{""text"":""`[]`"",""is_correct"":true},{""text"":""`[`a`]`"",""is_correct"":false},{""text"":""`[1]`"",""is_correct"":false},{""text"":""`[`a`, 1]`"",""is_correct"":false}]",javascript,"[""DESCRIPTORS"",""ENUMERABLE""]"
2fd57ba5-2da2-4a7c-99ee-60b67794b3cf,cfafc13a-b24f-4293-842d-b16f35cbfa36,What will this code log?,"const arr = [1, 2, 3];
const res = arr.map(x => x * 2);
console.log(res);","[{""text"":""`[2, 4, 6]`"",""is_correct"":true},{""text"":""`[1, 2, 3]`"",""is_correct"":false},{""text"":""`[1, 4, 9]`"",""is_correct"":false},{""text"":""`[2, 3, 4]`"",""is_correct"":false}]",javascript,"[""ARRAYS"",""MAP""]"
300a2b7d-0833-4bd9-9227-81ca59b10c9d,67089f81-ecc6-4f20-8680-e12509b694d8,What will this code log?,console.log(typeof 10n);,"[{""text"":""`bigint`"",""is_correct"":true},{""text"":""`number`"",""is_correct"":false},{""text"":""`string`"",""is_correct"":false},{""text"":""`object`"",""is_correct"":false}]",javascript,"[""BIGINT"",""TYPEOF""]"
30ba615c-096b-46dc-a396-683d6951bfda,23216e88-1946-4c6d-8e2f-c4e2235bec62,How can you fix the previous loop using `let`?,,"[{""text"":""Replace `var i` with `let i` so each iteration has its own binding"",""is_correct"":true},{""text"":""Wrap the body in a `try/catch`"",""is_correct"":false},{""text"":""Use `Promise` instead of `setTimeout`"",""is_correct"":false},{""text"":""Call `setTimeout` without a callback"",""is_correct"":false}]",javascript,"[""LET"",""BLOCK_SCOPE"",""CLOSURES""]"
33bfe037-9139-401c-9197-5bc4a541ec63,d9537b41-8ea2-4900-96b7-3584192a082d,Which statement about cookies vs `localStorage` is correct?,,"[{""text"":""Cookies are sent with HTTP requests; `localStorage` is not"",""is_correct"":true},{""text"":""`localStorage` is sent with every HTTP request"",""is_correct"":false},{""text"":""Cookies cannot have an expiration date"",""is_correct"":false},{""text"":""Cookies are always larger than `localStorage`"",""is_correct"":false}]",javascript,"[""COOKIES"",""STORAGE""]"
366343b3-2788-495f-8884-c040b7399c35,f0b352af-6dd7-48bc-92ce-89969cf1cbe5,What will `console.log(a)` print before `var a = 5` is executed?,"console.log(a);
var a = 5;","[{""text"":""`undefined`"",""is_correct"":true},{""text"":""`5`"",""is_correct"":false},{""text"":""`ReferenceError`"",""is_correct"":false},{""text"":""`TypeError`"",""is_correct"":false}]",javascript,"[""VARIABLES"",""HOISTING"",""BASICS""]"
38081d93-8dbe-41a9-a445-72372e8f9ea9,c1ddc588-ffe6-4c50-aebb-a59bd8ef8d7d,Which method creates a new object from key‑value pairs?,,"[{""text"":""`Object.fromEntries()`"",""is_correct"":true},{""text"":""`Object.assign()`"",""is_correct"":false},{""text"":""`Object.values()`"",""is_correct"":false},{""text"":""`Object.create()`"",""is_correct"":false}]",javascript,"[""FROM_ENTRIES""]"
3869d14e-2b05-4c4e-a6ca-8d9c45217f69,cfafc13a-b24f-4293-842d-b16f35cbfa36,What will this code log?,"const arr = [1, 2, 3];
const res = arr.filter(x => x % 2 === 1);
console.log(res);","[{""text"":""`[1, 3]`"",""is_correct"":true},{""text"":""`[2]`"",""is_correct"":false},{""text"":""`[1, 2, 3]`"",""is_correct"":false},{""text"":""`[]`"",""is_correct"":false}]",javascript,"[""ARRAYS"",""FILTER""]"
3aa514f4-83d9-4dc2-9bef-a3a6d55a3587,7d1541a7-7471-4a49-bb01-512395d5b836,What will this code log?,"let a = 1;
function outer() {
  let b = 2;
  function inner() {
    let c = 3;
    console.log(a, b, c);
  }
  inner();
}
outer();","[{""text"":""`1 2 3`"",""is_correct"":true},{""text"":""`ReferenceError`"",""is_correct"":false},{""text"":""`1 2 undefined`"",""is_correct"":false},{""text"":""`undefined` three times"",""is_correct"":false}]",javascript,"[""NESTED_SCOPE"",""LEXICAL_ENV""]"
3b52d9f7-9e84-4945-a069-845ce18723ac,67089f81-ecc6-4f20-8680-e12509b694d8,Which statement about `undefined` is correct?,,"[{""text"":""`undefined` is the default value for uninitialized variables"",""is_correct"":true},{""text"":""`undefined` and `null` are the same value"",""is_correct"":false},{""text"":""`undefined` is a reserved keyword you cannot shadow"",""is_correct"":false},{""text"":""You cannot assign `undefined` manually"",""is_correct"":false}]",javascript,"[""UNDEFINED"",""DEFAULTS""]"
3c50a536-6bb7-4efa-b8bf-f8a2ac310e65,9ca2f9a2-4802-4d54-b7c1-dd1a10dda632,What will this code log?,"function log(first, ...rest) {
  console.log(rest.length);
}
log(1, 2, 3, 4);","[{""text"":""`3`"",""is_correct"":true},{""text"":""`4`"",""is_correct"":false},{""text"":""`2`"",""is_correct"":false},{""text"":""`1`"",""is_correct"":false}]",javascript,"[""REST_PARAMETERS""]"
3df66b9b-f25f-4b9d-9c0f-ce1823c176e7,67089f81-ecc6-4f20-8680-e12509b694d8,What will this code log?,console.log(Array.isArray([]));,"[{""text"":""`true`"",""is_correct"":true},{""text"":""`false`"",""is_correct"":false},{""text"":""`undefined`"",""is_correct"":false},{""text"":""`object`"",""is_correct"":false}]",javascript,"[""ARRAYS"",""CHECKS""]"
4088e276-e002-42d0-abb1-5ac98cfc63fa,762caa41-9401-4119-b7b0-f2ed5a6c6cda,What will this code log?,"const arr = [3, 1, 2];
arr.sort();
console.log(arr);","[{""text"":""`[1, 2, 3]`"",""is_correct"":true},{""text"":""`[3, 2, 1]`"",""is_correct"":false},{""text"":""`[1, 3, 2]`"",""is_correct"":false},{""text"":""`[2, 1, 3]`"",""is_correct"":false}]",javascript,"[""SORT"",""DEFAULT""]"
4179b57e-03ee-4b92-a9a2-0930a94083c5,cb318465-447a-4257-94dc-07b23e9cfd06,Which comparison returns `true`?,,"[{""text"":""`null == undefined`"",""is_correct"":true},{""text"":""`null === undefined`"",""is_correct"":false},{""text"":""`null == 0`"",""is_correct"":false},{""text"":""`undefined == 0`"",""is_correct"":false}]",javascript,"[""NULL"",""UNDEFINED"",""COERCION""]"
4212b0e3-7069-47f1-85b8-a7588846aacc,9ca2f9a2-4802-4d54-b7c1-dd1a10dda632,What will this code log?,"function greet(name = `Guest`) {
  console.log(name);
}
greet();","[{""text"":""`Guest`"",""is_correct"":true},{""text"":""`undefined`"",""is_correct"":false},{""text"":""`null`"",""is_correct"":false},{""text"":""`name`"",""is_correct"":false}]",javascript,"[""DEFAULT_PARAMETERS""]"
437481af-eefa-4a9b-82b3-4f28e1d5754a,f0b352af-6dd7-48bc-92ce-89969cf1cbe5,What will this code log?,"if (true) {
  let y = 20;
}
console.log(y);","[{""text"":""`ReferenceError`"",""is_correct"":true},{""text"":""`undefined`"",""is_correct"":false},{""text"":""`20`"",""is_correct"":false},{""text"":""`null`"",""is_correct"":false}]",javascript,"[""LET"",""BLOCK_SCOPE""]"
43a14e6d-5a56-4e02-a052-7ad04b106083,c731a21a-6a18-43ef-8d91-904cc7d3bc31,What is the correct way to attach a click handler?,,"[{""text"":""element.addEventListener(`click`, handler)"",""is_correct"":true},{""text"":""element.on(`click`, handler)"",""is_correct"":false},{""text"":""addEventListener(element, `click`, handler)"",""is_correct"":false},{""text"":""element.click(handler)"",""is_correct"":false}]",javascript,"[""EVENTS"",""LISTENERS""]"
4609b4a3-bdb9-4bcc-af4e-edc8cd1614e4,f0b352af-6dd7-48bc-92ce-89969cf1cbe5,Which statement about `const` is correct?,,"[{""text"":""`const` prevents reassigning the binding, not mutating the object"",""is_correct"":true},{""text"":""`const` makes the entire object deeply immutable"",""is_correct"":false},{""text"":""`const` behaves exactly like `var`"",""is_correct"":false},{""text"":""`const` can be redeclared in the same scope"",""is_correct"":false}]",javascript,"[""CONST"",""MUTATION""]"
467ffaa5-0670-44e6-8803-7563ce01bff2,d9d362e9-010f-4505-8d05-fdf2a6abf337,Which statement about the `arguments` object is correct?,,"[{""text"":""`arguments` is array-like and available in non-arrow functions"",""is_correct"":true},{""text"":""`arguments` is a real array in all functions"",""is_correct"":false},{""text"":""`arguments` works in arrow functions"",""is_correct"":false},{""text"":""`arguments` only exists in strict mode"",""is_correct"":false}]",javascript,"[""ARGUMENTS"",""FUNCTIONS""]"
483e4954-145b-4282-90a9-f751ec9e9ccb,cb318465-447a-4257-94dc-07b23e9cfd06,What is the result of `0 === false`?,,"[{""text"":""`true`"",""is_correct"":false},{""text"":""`false`"",""is_correct"":true},{""text"":""`TypeError`"",""is_correct"":false},{""text"":""`NaN`"",""is_correct"":false}]",javascript,"[""COMPARISON"",""STRICT_EQUALITY""]"
4eb81a40-e704-4435-beb4-ccc1af4940d4,c1ddc588-ffe6-4c50-aebb-a59bd8ef8d7d,Which object is **iterable** by default and can be used with `for...of`?,,"[{""text"":""`Map`"",""is_correct"":true},{""text"":""Plain `{}` object"",""is_correct"":false},{""text"":""`Object.keys(obj)`"",""is_correct"":false},{""text"":""`Object.values(obj)`"",""is_correct"":false}]",javascript,"[""ITERABLE"",""MAP""]"
4f9ee54f-00ff-41a6-9926-2223ae2a6857,9ca2f9a2-4802-4d54-b7c1-dd1a10dda632,Which call correctly spreads an array into parameters?,"function print(a, b, c) {
  console.log(a, b, c);
}","[{""text"":""print(...[1, 2, 3])"",""is_correct"":true},{""text"":""print([1, 2, 3]...)"",""is_correct"":false},{""text"":""print(...[1, 2], 3)"",""is_correct"":false},{""text"":""print([1, 2, 3])"",""is_correct"":false}]",javascript,"[""SPREAD"",""CALLS""]"
51e2c5bb-12fc-412f-a303-8d34d9607e8b,cfafc13a-b24f-4293-842d-b16f35cbfa36,What does `some` return?,,"[{""text"":""A `boolean` indicating if any element matches"",""is_correct"":true},{""text"":""The first matching element"",""is_correct"":false},{""text"":""The number of matches"",""is_correct"":false},{""text"":""An array of matches"",""is_correct"":false}]",javascript,"[""SOME"",""BOOLEANS""]"
51ee7336-ad31-43d4-9cd3-220b69fd192c,310f983b-d4b8-402d-9b7a-4c6126d07f03,Which function form is best for methods that rely on `this`?,,"[{""text"":""Regular function expression or method shorthand"",""is_correct"":true},{""text"":""Arrow function as a method"",""is_correct"":false},{""text"":""Anonymous IIFE"",""is_correct"":false},{""text"":""Generator function"",""is_correct"":false}]",javascript,"[""METHODS"",""THIS""]"
52db6a48-21cf-4a5f-8584-f742fd3d7b9e,67089f81-ecc6-4f20-8680-e12509b694d8,Which statement about `symbol` is correct?,,"[{""text"":""Each `Symbol()` call creates a unique value"",""is_correct"":true},{""text"":""`symbol` values are numbers"",""is_correct"":false},{""text"":""`symbol` values can be auto‑coerced to string"",""is_correct"":false},{""text"":""`symbol` is an alias for `bigint`"",""is_correct"":false}]",javascript,"[""SYMBOL""]"
5361d4bb-138d-435b-9c1a-ec2b4b97a1f1,983eefee-33d0-415c-b86a-0b5dac3df2f9,What will this code do?,"const el = document.querySelector(`#app`);
el.textContent = `Hello`; ","[{""text"":""Set the text content of the element with id `app` to `Hello`"",""is_correct"":true},{""text"":""Create a new element called `app`"",""is_correct"":false},{""text"":""Throw a `ReferenceError`"",""is_correct"":false},{""text"":""Reload the page"",""is_correct"":false}]",javascript,"[""DOM"",""TEXTCONTENT""]"
53a146d0-1076-42cc-9141-b5d378533f2d,cb318465-447a-4257-94dc-07b23e9cfd06,What is the result of `[] === 0`?,,"[{""text"":""`true`"",""is_correct"":false},{""text"":""`false`"",""is_correct"":true},{""text"":""`TypeError`"",""is_correct"":false},{""text"":""`NaN`"",""is_correct"":false}]",javascript,"[""STRICT_EQUALITY"",""ARRAYS""]"
548ba397-e49b-48d0-8102-1228098b3709,9759a2f9-6ab9-4cc8-8324-b646dd95c461,What does `unknown` represent?,,"[{""text"":""A type-safe counterpart to `any` that must be narrowed"",""is_correct"":true},{""text"":""Exactly the same as `any`"",""is_correct"":false},{""text"":""A subtype of all types"",""is_correct"":false},{""text"":""A type that can only be `null`"",""is_correct"":false}]",typescript,"[""UNKNOWN""]"
55e6674a-3b3c-4eb9-a74f-281261cca42f,9759a2f9-6ab9-4cc8-8324-b646dd95c461,Which annotation defines an array of numbers?,,"[{""text"":""let values: number[];"",""is_correct"":true},{""text"":""let values: [number];"",""is_correct"":false},{""text"":""let values: Array;"",""is_correct"":false},{""text"":""let values: number;"",""is_correct"":false}]",typescript,"[""ARRAY_TYPES""]"
5852cdfd-086c-4164-a898-28f5de246fd4,c731a21a-6a18-43ef-8d91-904cc7d3bc31,What will this code do?,"const event = new CustomEvent(`greet`, { detail: { name: `Alex` } });
document.addEventListener(`greet`, e => {
  console.log(e.detail.name);
});
document.dispatchEvent(event);","[{""text"":""Log `Alex`"",""is_correct"":true},{""text"":""Throw `ReferenceError`"",""is_correct"":false},{""text"":""Do nothing"",""is_correct"":false},{""text"":""Reload the page"",""is_correct"":false}]",javascript,"[""CUSTOM_EVENTS"",""DETAIL""]"
59b192a6-28eb-493d-a2f5-51f3ac0b622d,c731a21a-6a18-43ef-8d91-904cc7d3bc31,What does `event.preventDefault()` do?,,"[{""text"":""Prevents the default browser behavior"",""is_correct"":true},{""text"":""Stops all event listeners"",""is_correct"":false},{""text"":""Stops propagation"",""is_correct"":false},{""text"":""Cancels `Promise` execution"",""is_correct"":false}]",javascript,"[""EVENTS"",""DEFAULT""]"
5c3fd012-7cfb-4db1-8b4d-120c877ddda7,310f983b-d4b8-402d-9b7a-4c6126d07f03,Which property is unique to function declarations compared to expressions?,,"[{""text"":""They are fully hoisted and can be called before their definition"",""is_correct"":true},{""text"":""They cannot have a name"",""is_correct"":false},{""text"":""They always run asynchronously"",""is_correct"":false},{""text"":""They cannot be recursive"",""is_correct"":false}]",javascript,"[""DECLARATION"",""HOISTING""]"
61e4609d-f84d-4edd-8efd-90535cfdb04e,9ca2f9a2-4802-4d54-b7c1-dd1a10dda632,Which statement about parameter defaults is correct?,,"[{""text"":""Default values are used only when the argument is `undefined`"",""is_correct"":true},{""text"":""Default values are used when the argument is `null`"",""is_correct"":false},{""text"":""Default values ignore `undefined`"",""is_correct"":false},{""text"":""Default values must be constants"",""is_correct"":false}]",javascript,"[""DEFAULT_PARAMETERS""]"
62001d40-39a3-4792-b656-eccfea09d467,7d1541a7-7471-4a49-bb01-512395d5b836,What is variable shadowing?,,"[{""text"":""A local variable with the same name hides an outer variable"",""is_correct"":true},{""text"":""Deleting a variable from global scope"",""is_correct"":false},{""text"":""Reassigning a `const` variable"",""is_correct"":false},{""text"":""Using `var` instead of `let`"",""is_correct"":false}]",javascript,"[""SHADOWING"",""SCOPE""]"
